Date,SPY,^DJI,^IXIC
2010-01-04,86.0264663696289,10583.9599609375,2308.419921875
2010-01-05,86.25415802001953,10572.01953125,2308.7099609375
2010-01-06,86.31491088867188,10573.6796875,2301.090087890625
2010-01-07,86.67929077148438,10606.8603515625,2300.050048828125
2010-01-08,86.96772003173828,10618.1904296875,2317.169921875
2010-01-09,86.96772003173828,10618.1904296875,2317.169921875
2010-01-10,86.96772003173828,10618.1904296875,2317.169921875
2010-01-11,87.08916473388672,10663.990234375,2312.409912109375
2010-01-12,86.2769546508789,10627.259765625,2282.31005859375
2010-01-13,87.00566101074219,10680.76953125,2307.89990234375
2010-01-14,87.24098205566406,10710.5498046875,2316.739990234375
2010-01-15,86.26177215576172,10609.650390625,2287.989990234375
2010-01-16,86.26177215576172,10609.650390625,2287.989990234375
2010-01-17,86.26177215576172,10609.650390625,2287.989990234375
2010-01-18,86.26177215576172,10609.650390625,2287.989990234375
2010-01-19,87.33965301513672,10725.4296875,2320.39990234375
2010-01-20,86.45153045654297,10603.150390625,2291.25
2010-01-21,84.78914642333984,10389.8798828125,2265.699951171875
2010-01-22,82.89903259277344,10172.98046875,2205.2900390625
2010-01-23,82.89903259277344,10172.98046875,2205.2900390625
2010-01-24,82.89903259277344,10172.98046875,2205.2900390625
2010-01-25,83.3240966796875,10196.8603515625,2210.800048828125
2010-01-26,82.97496032714844,10194.2900390625,2203.72998046875
2010-01-27,83.36965942382812,10236.16015625,2221.409912109375
2010-01-28,82.41323852539062,10120.4599609375,2179.0
2010-01-29,81.51751708984375,10067.330078125,2147.35009765625
2010-01-30,81.51751708984375,10067.330078125,2147.35009765625
2010-01-31,81.51751708984375,10067.330078125,2147.35009765625
2010-02-01,82.7851791381836,10185.5302734375,2171.199951171875
2010-02-02,83.78717041015625,10296.849609375,2190.06005859375
2010-02-03,83.36965942382812,10270.5498046875,2190.909912109375
2010-02-04,80.79640197753906,10002.1796875,2125.429931640625
2010-02-05,80.96340942382812,10012.23046875,2141.1201171875
2010-02-06,80.96340942382812,10012.23046875,2141.1201171875
2010-02-07,80.96340942382812,10012.23046875,2141.1201171875
2010-02-08,80.37889862060547,9908.3896484375,2126.050048828125
2010-02-09,81.38849639892578,10058.6396484375,2150.8701171875
2010-02-10,81.22906494140625,10038.3798828125,2147.8701171875
2010-02-11,82.07926177978516,10144.1904296875,2177.409912109375
2010-02-12,82.01093292236328,10099.1396484375,2183.530029296875
2010-02-13,82.01093292236328,10099.1396484375,2183.530029296875
2010-02-14,82.01093292236328,10099.1396484375,2183.530029296875
2010-02-15,82.01093292236328,10099.1396484375,2183.530029296875
2010-02-16,83.30135345458984,10268.8095703125,2214.18994140625
2010-02-17,83.69608306884766,10309.240234375,2226.2900390625
2010-02-18,84.1894760131836,10392.900390625,2241.7099609375
2010-02-19,84.36407470703125,10402.349609375,2243.8701171875
2010-02-20,84.36407470703125,10402.349609375,2243.8701171875
2010-02-21,84.36407470703125,10402.349609375,2243.8701171875
2010-02-22,84.37924194335938,10383.3798828125,2242.030029296875
2010-02-23,83.35449981689453,10282.41015625,2213.43994140625
2010-02-24,84.12116241455078,10374.16015625,2235.89990234375
2010-02-25,84.0073013305664,10321.0302734375,2234.219970703125
2010-02-26,84.0604476928711,10325.259765625,2238.260009765625
2010-02-27,84.0604476928711,10325.259765625,2238.260009765625
2010-02-28,84.0604476928711,10325.259765625,2238.260009765625
2010-03-01,84.9333724975586,10403.7900390625,2273.570068359375
2010-03-02,85.16869354248047,10405.98046875,2280.7900390625
2010-03-03,85.24458312988281,10396.759765625,2280.679931640625
2010-03-04,85.502685546875,10444.1396484375,2292.31005859375
2010-03-05,86.72480010986328,10566.2001953125,2326.35009765625
2010-03-06,86.72480010986328,10566.2001953125,2326.35009765625
2010-03-07,86.72480010986328,10566.2001953125,2326.35009765625
2010-03-08,86.74000549316406,10552.51953125,2332.2099609375
2010-03-09,86.88421630859375,10564.3798828125,2340.679931640625
2010-03-10,87.27133178710938,10567.330078125,2358.949951171875
2010-03-11,87.63569641113281,10611.83984375,2368.4599609375
2010-03-12,87.64330291748047,10624.6904296875,2367.659912109375
2010-03-13,87.64330291748047,10624.6904296875,2367.659912109375
2010-03-14,87.64330291748047,10624.6904296875,2367.659912109375
2010-03-15,87.66606140136719,10642.150390625,2362.2099609375
2010-03-16,88.36444091796875,10685.98046875,2378.010009765625
2010-03-17,88.88816833496094,10733.669921875,2389.090087890625
2010-03-18,88.84260559082031,10779.169921875,2391.280029296875
2010-03-19,88.3929443359375,10741.98046875,2374.409912109375
2010-03-20,88.3929443359375,10741.98046875,2374.409912109375
2010-03-21,88.3929443359375,10741.98046875,2374.409912109375
2010-03-22,88.86549377441406,10785.8896484375,2395.39990234375
2010-03-23,89.49051666259766,10888.830078125,2415.239990234375
2010-03-24,89.05603790283203,10836.150390625,2398.760009765625
2010-03-25,88.91123962402344,10841.2099609375,2397.409912109375
2010-03-26,88.85785675048828,10850.3603515625,2395.1298828125
2010-03-27,88.85785675048828,10850.3603515625,2395.1298828125
2010-03-28,88.85785675048828,10850.3603515625,2395.1298828125
2010-03-29,89.4218978881836,10895.8603515625,2404.360107421875
2010-03-30,89.4828872680664,10907.419921875,2410.68994140625
2010-03-31,89.17801666259766,10856.6298828125,2397.9599609375
2010-04-01,89.78779602050781,10927.0703125,2402.580078125
2010-04-02,89.78779602050781,10927.0703125,2402.580078125
2010-04-03,89.78779602050781,10927.0703125,2402.580078125
2010-04-04,89.78779602050781,10927.0703125,2402.580078125
